"Index","Runner","Status","ErrorSample","FailureBucket"
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_double_advancing_executor_is_quarantined (res://tests/retail_script_wiring_runner.gd:535)
       [5] _run (res://tests/retail_script_wiring_runner.gd:93)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_double_advancing_executor_is_quarantined (res://tests/retail_script_wiring_runner.gd:535)
       [5] _run (res://tests/retail_script_wiring_runner.gd:93)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_double_advancing_executor_is_quarantined (res://tests/retail_script_wiring_runner.gd:535)
       [5] _run (res://tests/retail_script_wiring_runner.gd:93)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_double_advancing_executor_is_quarantined (res://tests/retail_script_wiring_runner.gd:535)
       [5] _run (res://tests/retail_script_wiring_runner.gd:93)
ERROR: script wiring: quarantining team 0's executor - cadence violation during the step: one executor tick moved the env clock 0 -> 2 (must be exactly +1). Its scripts no longer run; the hashed interpreter clock already carries the divergence.
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _quarantine_script_executor (res://src/retail_slice/retail_slice_sim.gd:12420)
       [1] _step_script_executors (res://src/retail_slice/retail_slice_sim.gd:12403)
       [2] tick (res://src/retail_slice/retail_slice_sim.gd:13307)
       [3] _test_double_advancing_executor_is_quarantined (res://tests/retail_script_wiring_runner.gd:542)
       [4] _run (res://tests/retail_script_wiring_runner.gd:93)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_freed_executor_is_reported_and_dropped (res://tests/retail_script_wiring_runner.gd:557)
       [5] _run (res://tests/retail_script_wiring_runner.gd:94)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_freed_executor_is_reported_and_dropped (res://tests/retail_script_wiring_runner.gd:557)
       [5] _run (res://tests/retail_script_wiring_runner.gd:94)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_freed_executor_is_reported_and_dropped (res://tests/retail_script_wiring_runner.gd:557)
       [5] _run (res://tests/retail_script_wiring_runner.gd:94)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_freed_executor_is_reported_and_dropped (res://tests/retail_script_wiring_runner.gd:557)
       [5] _run (res://tests/retail_script_wiring_runner.gd:94)
ERROR: script wiring: the executor registered for team 0 was freed while registered; dropping the registration - its scripts stop HERE, loudly
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _step_script_executors (res://src/retail_slice/retail_slice_sim.gd:12378)
       [1] tick (res://src/retail_slice/retail_slice_sim.gd:13307)
       [2] _test_freed_executor_is_reported_and_dropped (res://tests/retail_script_wiring_runner.gd:563)
       [3] _run (res://tests/retail_script_wiring_runner.gd:94)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:571)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:571)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:571)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:571)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: SageScriptEnv: the simulation owning this env's state store has been freed; refusing every further read and write - the store is an orphan outside any snapshot/hash boundary
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _report_stale (res://src/script/script_env.gd:220)
       [1] _collection (res://src/script/script_env.gd:239)
       [2] @counters_getter (res://src/script/script_env.gd:89)
       [3] counter (res://src/script/script_env.gd:280)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:582)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:591)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:591)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:591)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:591)
       [5] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: SageScriptExecutor: refusing to tick - this executor's env is attached to a state store whose owning simulation was freed
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] tick (res://src/script/script_executor.gd:386)
       [1] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:604)
       [2] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: SageScriptEnv: the simulation owning this env's state store has been freed; refusing every further read and write - the store is an orphan outside any snapshot/hash boundary
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _report_stale (res://src/script/script_env.gd:220)
       [1] @tick_index_getter (res://src/script/script_env.gd:110)
       [2] _test_env_of_freed_sim_refuses_loudly (res://tests/retail_script_wiring_runner.gd:607)
       [3] _run (res://tests/retail_script_wiring_runner.gd:95)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:614)
       [5] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:614)
       [5] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:614)
       [5] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:614)
       [5] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:620)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:620)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:620)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:620)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: script wiring: quarantining team 0's executor - cadence violation before the step: env tick 6, expected 5 - something ticked this executor outside sim.tick(). Its scripts no longer run; the hashed interpreter clock already carries the divergence.
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _quarantine_script_executor (res://src/retail_slice/retail_slice_sim.gd:12420)
       [1] _step_script_executors (res://src/retail_slice/retail_slice_sim.gd:12395)
       [2] tick (res://src/retail_slice/retail_slice_sim.gd:13307)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:635)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:637)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:637)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:637)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _test_match_reset_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:637)
       [4] _run (res://tests/retail_script_wiring_runner.gd:96)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_in_place_restore_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:653)
       [5] _run (res://tests/retail_script_wiring_runner.gd:97)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_in_place_restore_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:653)
       [5] _run (res://tests/retail_script_wiring_runner.gd:97)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_in_place_restore_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:653)
       [5] _run (res://tests/retail_script_wiring_runner.gd:97)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_in_place_restore_rebases_the_wiring (res://tests/retail_script_wiring_runner.gd:653)
       [5] _run (res://tests/retail_script_wiring_runner.gd:97)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:678)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:678)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:678)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:678)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'farm' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:685)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'barracks' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:685)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
       [3] _make_sim (res://tests/retail_script_wiring_runner.gd:167)
       [4] _test_peer_adoption_through_the_wired_path (res://tests/retail_script_wiring_runner.gd:685)
       [5] _run (res://tests/retail_script_wiring_runner.gd:98)
ERROR: [RetailSliceSim] structure armor: kind 'stable' has no compiled armor contract; structure damage will be refused for that kind
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _record_structure_armor_provisionals (res://src/retail_slice/retail_slice_sim.gd:2450)
       [1] _apply_gameplay_rules (res://src/retail_slice/retail_slice_sim.gd:1931)
       [2] setup (res://src/retail_slice/retail_slice_sim.gd:1638)
